Ref,Val,Package,PosX,PosY,Rot,Side,M
C3,0.1uF,C_0805_2012Metric,-105.41,-127,0,bottom,C08-104
R3,10K,R_0805_2012Metric,-95.6075,-83.82,0,bottom,R08-103
R4,470R,R_0805_2012Metric,-121.4947,-106.68,0,bottom,R08-471
R5,470R,R_0805_2012Metric,-121.8522,-101.6,0,bottom,R08-471
R6,470R,R_0805_2012Metric,-121.5625,-111.76,180,bottom,R08-471
R7,470R,R_0805_2012Metric,-121.5625,-96.52,0,bottom,R08-471
R8,470R,R_0805_2012Metric,-121.5625,-91.44,0,bottom,R08-471
R9,10K,R_0805_2012Metric,-116.7722,-91.44,180,bottom,R08-103
R10,10K,R_0805_2012Metric,-116.7722,-96.52,0,bottom,R08-103
R11,10K,R_0805_2012Metric,-116.7722,-106.68,0,bottom,R08-103
R12,10K,R_0805_2012Metric,-116.7722,-101.6,0,bottom,R08-103
R13,10K,R_0805_2012Metric,-116.4825,-111.76,180,bottom,R08-103
R14,10K,R_0805_2012Metric,-93.98,-116.84,-90,bottom,R08-103
R15,10K,R_0805_2012Metric,-88.9,-116.84,90,bottom,R08-103
R16,10K,R_0805_2012Metric,-93.98,-91.44,180,bottom,R08-103
R17,470R,R_0805_2012Metric,-88.9,-91.44,0,bottom,R08-471
R18,10K,R_0805_2012Metric,-93.98,-96.52,180,bottom,R08-103
R19,470R,R_0805_2012Metric,-88.9,-96.52,0,bottom,R08-471
R20,10K,R_0805_2012Metric,-93.98,-101.6,180,bottom,R08-103
R21,470R,R_0805_2012Metric,-88.9,-101.6,0,bottom,R08-471
R22,10K,R_0805_2012Metric,-93.98,-106.68,180,bottom,R08-103
R23,470R,R_0805_2012Metric,-88.9,-106.68,0,bottom,R08-471
R24,10K,R_0805_2012Metric,-93.98,-111.76,180,bottom,R08-103
R25,470R,R_0805_2012Metric,-88.9,-111.76,0,bottom,R08-471
R26,10k,R_0805_2012Metric,-127,-120.65,90,bottom,R08-103
R27,10k,R_0805_2012Metric,-132.08,-120.65,90,bottom,R08-103
R28,10k,R_0805_2012Metric,-83.82,-120.65,90,bottom,R08-103
R29,10k,R_0805_2012Metric,-78.74,-120.65,90,bottom,R08-103
REF**,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,-114.9,-77.9,180,bottom,FID1
REF**,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,-97.75,-124.45,180,bottom,FID1
REF**,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,-113.1,-124.4,180,bottom,FID1
REF**,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,-95.968239,-77.883119,180,bottom,FID1
